# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
1,G.1.,25,1,True,
1,..,,,True,
1,G.1.,10,1,True,
1,..,,,True,
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
1,Bm.1.,25,1,True,
1,..,,,True,
1,Bm.1.,10,1,True,
1,..,,,True,
1,G.1.,25,1,True,
1,..,,,True,
1,G.1.,10,1,True,
1,..,,,True,
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [1] Lyrics
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ... In moments like these
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,Bm.1.,25,1,True,
1,..,,,True,
1,Bm.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... I sing out a song
1,Em.1.,25,1,True,
1,..,,,True,
1,Em.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A7.1.,25,1,True,
1,..,,,True,
1,A7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... I sing out a love song to Je-sus.
1,Em.1.,25,1,True,
1,..,,,True,
1,Em.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A7.1.,25,1,True,
1,..,,,True,
1,A7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A7.1.,25,1,True,
1,..,,,True,
1,A7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... In moments like these
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,Bm.1.,25,1,True,
1,..,,,True,
1,Bm.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... I lift up my hands
1,Em.1.,25,1,True,
1,..,,,True,
1,Em.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A7.1.,25,1,True,
1,..,,,True,
1,A7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... I lift up my hands to the Lord.
1,Em.1.,25,1,True,
1,..,,,True,
1,Em.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A7.1.,25,1,True,
1,..,,,True,
1,A7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A7.1.,25,1,True,
1,..,,,True,
1,A7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ... Singing I love you Lord
1,G.1.,25,1,True,
1,..,,,True,
1,G.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D7.1.,25,1,True,
1,..,,,True,
1,D7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D7.1.,25,1,True,
1,..,,,True,
1,D7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... Singing I love you Lord
1,G.1.,25,1,True,
1,..,,,True,
1,G.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D7.1.,25,1,True,
1,..,,,True,
1,D7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D7.1.,25,1,True,
1,..,,,True,
1,D7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... Singing I love you
1,G.1.,25,1,True,
1,..,,,True,
1,G.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,Bm.1.,25,1,True,
1,..,,,True,
1,Bm.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... Lord I love you
1,G.1.,25,1,True,
1,..,,,True,
1,G.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,D.1.,25,1,True,
1,..,,,True,
1,D.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
Footer:True,2,-1
