# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
1,F.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Dm.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 我時(常)軟(弱)，有時(會)迷(惑)
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Am.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Em.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 但(祢)是(道)路、真理和(生)命()
1,F.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ... 主祢(要)往哪裡(走)，我就(跟)祢(走)
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Am.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Em7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... (領)我走到(世)界盡頭，一(生)不再回(頭)
1,F.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Dm7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 讓世(界)聽到我(們)敬拜，(我)們的禱(告)
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Am.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Em.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 讓(復)興從我(們)開始，將(主)愛帶(到)人群(中)
1,F.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Dm7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Music...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
1,G.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ... 主祢(要)往哪裡(走)，我就(跟)祢(走)
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Am.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Em7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... (領)我走到(世)界盡頭，一(生)不再回(頭)
1,F.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Dm7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 讓世(界)聽到我(們)敬拜，(我)們的禱(告)
1,C.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,G7.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Am.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,Em.2.,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
