# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [1] Lyrics
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ...同(唱)主恩(深)厚，哈利(路)(亞)
4,C.0.,25,4,True,
-1,,,,False,# ... ... ... 
1,Em.0.,25,1,True,
1,Em.0.,0,1,True,
1,Em.0.,10,1,True,
1,Em.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,F.0.,10,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,G.0.,25,1,True,
1,G.0.,0,1,True,
1,G.0.,10,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ...崇(拜)完備(的)主，歌聲(高)唱入(雲)
4,C.0.,25,4,True,
-1,,,,False,# ... ... ... 
1,Em.0.,25,1,True,
1,Em.0.,0,1,True,
1,Em.0.,10,1,True,
1,Em.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,F.0.,10,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,G.0.,25,1,True,
1,G.0.,0,1,True,
1,G.0.,10,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ...當這(世)界，仍是(冷)漠
1,Am.0.,25,1,True,
1,Am.0.,0,1,True,
1,Am.0.,10,1,True,
1,Am.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,Em.0.,25,1,True,
1,Em.0.,0,1,True,
1,Em.0.,10,1,True,
1,Em.0.,0,1,True,
-1,,,,False,# ...基督(降)世捨(身)
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,G.0.,25,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ...使我們(從)罪裡得(生)
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,E7.0.,25,1,True,
1,E7.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,Dm.0.,25,1,True,
1,Dm.0.,0,1,True,
1,F.0.,25,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,A#.0.,25,1,True,
1,A#.0.,0,1,True,
1,A#.0.,10,1,True,
1,A#.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,G.0.,25,1,True,
1,G.0.,0,1,True,
1,G.0.,10,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ...我願頌揚(跪)拜(你)，歌聲(高)唱入(雲)
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,Em.0.,25,1,True,
1,Em.0.,0,1,True,
1,Em.0.,10,1,True,
1,Em.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,F.0.,10,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,G.0.,25,1,True,
1,G.0.,0,1,True,
1,G.0.,10,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ...舉起手來(頌)讚(你)，歡呼(主)愛大(能)
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,Em.0.,25,1,True,
1,Em.0.,0,1,True,
1,Em.0.,10,1,True,
1,Em.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,F.0.,10,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,G.0.,25,1,True,
1,G.0.,0,1,True,
1,G.0.,10,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ...主(啊)，你是我(詩)歌
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,F.0.,10,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ...主(啊)，你是我(盾)牌
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,F.0.,10,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ...主(啊)，你是我(今)生不變(主)宰()，感謝(祢)
